HP,HP average
91,58.03524229
93,58.18859649
71,58.24454148
54,58.22608696
79,58.31601732
100,58.49568966
85,58.60944206
79,58.6965812
74,58.76170213
79,58.84745763
60,58.85232068
45,58.79411765
56,58.78242678
42,58.7125
54,58.69294606
70,58.73966942
76,58.81069959
72,58.8647541
83,58.96326531
93,59.10162602
71,59.14979757
96,59.2983871
97,59.4497992
98,59.604
100,59.76494024
100,59.92460317
100,60.08300395
78,60.15354331
59,60.14901961
74,60.203125
95,60.3385214
100,60.49224806
100,60.64478764
100,60.79615385
100,60.94636015
100,61.09541985
100,61.24334601
100,61.39015152
100,61.53584906
83,61.61654135
63,61.62172285
72,61.66044776
78,61.72118959
59,61.71111111
67,61.73062731
81,61.80147059
92,61.91208791
100,62.05109489
100,62.18909091
100,62.32608696
100,62.46209386
86,62.54676259
100,62.68100358
77,62.73214286
73,62.76868327
55,62.74113475
55,62.71378092
41,62.63732394
60,62.62807018
75,62.67132867
57,62.65156794
57,62.63194444
66,62.64359862
92,62.74482759
100,62.87285223
92,62.97260274
100,63.09897611
100,63.2244898
94,63.32881356
95,63.43581081
96,63.54545455
88,63.62751678
67,63.63879599
74,63.67333333
70,63.69435216
67,63.70529801
65,63.70957096
49,63.66118421
59,63.64590164
83,63.70915033
63,63.70684039
61,63.69805195
81,63.75404531
76,63.79354839
58,63.77491961
57,63.75320513
66,63.76038339
64,63.7611465
48,63.71111111
58,63.69303797
43,63.62776025
31,63.52515723
57,63.50470219
66,63.5125
50,63.47040498
48,63.42236025
74,63.45510836
56,63.43209877
65,63.43692308
49,63.39263804
71,63.41590214
70,63.43597561
92,63.52279635
71,63.54545455
54,63.51661631
82,63.57228916
63,63.57057057
47,63.52095808
49,63.47761194
59,63.46428571
58,63.44807122
85,63.51183432
88,63.5840708
67,63.59411765
86,63.65982405
66,63.66666667
64,63.66763848
48,63.62209302
35,63.53913043
25,63.42774566
17,63.29394813
36,63.21551724
26,63.10888252
18,62.98
46,62.93162393
34,62.84943182
47,62.80453258
35,62.7259887
48,62.68450704
49,62.64606742
36,62.57142857
26,62.46927374
18,62.3454039
50,62.31111111
37,62.24099723
27,62.14364641
33,62.06336088
61,62.06043956
46,62.01643836
76,62.05464481
58,62.04359673
43,61.99184783
54,61.9701897
54,61.94864865
82,62.00269542
100,62.10483871
100,62.20643432
100,62.30748663
97,62.4
75,62.43351064
57,62.41909814
43,62.36772487
31,62.28496042
36,62.21578947
37,62.1496063
66,62.15968586
61,62.15665796
60,62.15104167
45,62.10649351
68,62.12176166
65,62.12919897
49,62.09536082
50,62.06426735
37,62
62,62
61,61.99744898
60,61.99236641
59,61.98477157
67,61.99746835
51,61.96969697
38,61.9093199
57,61.89698492
43,61.84962406
31,61.7725
42,61.72319202
31,61.64676617
22,61.5483871
15,61.43316832
6,61.2962963
8,61.16502463
10,61.03931204
8,60.90931373
10,60.78484108
3,60.64390244
8,60.51581509
10,60.39320388
8,60.26634383
10,60.14492754
8,60.01927711
10,59.89903846
8,59.77458034
10,59.65550239
8,59.53221957
49,59.50714286
66,59.52256532
50,59.5
60,59.50118203
59,59.5
44,59.46352941
32,59.39906103
23,59.31381733
29,59.24299065
62,59.24941725
89,59.31860465
68,59.3387471
81,59.38888889
97,59.47575058
75,59.51152074
71,59.53793103
89,59.60550459
82,59.65675057
72,59.68493151
55,59.67425968
41,59.63181818
53,59.61678005
69,59.63800905
82,59.68848758
63,59.69594595
61,59.6988764
46,59.66816143
64,59.67785235
62,59.68303571
